image,category,config,width,height,bpg_bytes,hevc_bytes,bpp,psnr,rust_decode,rust_psnr
flat,flat-color,420_8bit_qp24,256,256,79,104,0.0096,99.000,ok,99.000
flat,flat-color,420_8bit_qp32,256,256,74,99,0.0090,99.000,ok,99.000
flat,flat-color,422_8bit_qp24,256,256,80,105,0.0098,99.000,unsupported,
flat,flat-color,422_8bit_qp32,256,256,73,98,0.0089,99.000,unsupported,
flat,flat-color,444_8bit_qp24,256,256,80,106,0.0098,99.000,unsupported,
flat,flat-color,444_8bit_qp32,256,256,74,100,0.0090,99.000,unsupported,
gradient,gradient,420_8bit_qp24,256,256,573,598,0.0699,48.874,ok,52.999
gradient,gradient,420_8bit_qp32,256,256,344,369,0.0420,46.553,ok,53.007
gradient,gradient,422_8bit_qp24,256,256,753,778,0.0919,48.857,unsupported,
gradient,gradient,422_8bit_qp32,256,256,438,463,0.0535,45.945,unsupported,
gradient,gradient,444_8bit_qp24,256,256,713,739,0.0870,50.192,unsupported,
gradient,gradient,444_8bit_qp32,256,256,380,406,0.0464,47.599,unsupported,
checkerboard,high-frequency,420_8bit_qp24,256,256,2803,2828,0.3422,99.000,ok,99.000
checkerboard,high-frequency,420_8bit_qp32,256,256,2317,2342,0.2828,61.388,ok,99.000
checkerboard,high-frequency,422_8bit_qp24,256,256,2803,2828,0.3422,99.000,unsupported,
checkerboard,high-frequency,422_8bit_qp32,256,256,2317,2342,0.2828,61.388,unsupported,
checkerboard,high-frequency,444_8bit_qp24,256,256,2803,2829,0.3422,99.000,unsupported,
checkerboard,high-frequency,444_8bit_qp32,256,256,2317,2343,0.2828,61.388,unsupported,
lineart,line-art,420_8bit_qp24,256,256,4592,4617,0.5605,53.106,ok,99.000
lineart,line-art,420_8bit_qp32,256,256,3629,3654,0.4430,45.198,ok,99.000
lineart,line-art,422_8bit_qp24,256,256,4593,4618,0.5607,52.653,unsupported,
lineart,line-art,422_8bit_qp32,256,256,3621,3646,0.4420,45.949,unsupported,
lineart,line-art,444_8bit_qp24,256,256,4593,4619,0.5607,52.667,unsupported,
lineart,line-art,444_8bit_qp32,256,256,3618,3644,0.4417,45.762,unsupported,
noise,noise,420_8bit_qp24,256,256,43622,43647,5.3250,18.978,ok,31.533
noise,noise,420_8bit_qp32,256,256,25666,25691,3.1331,18.561,ok,32.822
noise,noise,422_8bit_qp24,256,256,59752,59777,7.2939,20.663,unsupported,
noise,noise,422_8bit_qp32,256,256,36015,36040,4.3964,20.138,unsupported,
noise,noise,444_8bit_qp24,256,256,96712,96738,11.8057,36.812,unsupported,
noise,noise,444_8bit_qp32,256,256,61833,61859,7.5480,28.834,unsupported,
gradient16,gradient-hdr,420_10bit_qp28,256,256,395,421,0.0482,50.861,ok,48.898
gradient16,gradient-hdr,444_10bit_qp28,256,256,438,464,0.0535,52.465,unsupported,
photo,natural-photo,420_8bit_qp24,256,256,10659,10684,1.3011,42.177,ok,47.337
photo,natural-photo,420_8bit_qp32,256,256,7001,7026,0.8546,36.026,ok,48.473
photo,natural-photo,422_8bit_qp24,256,256,11140,11165,1.3599,42.625,unsupported,
photo,natural-photo,422_8bit_qp32,256,256,7268,7293,0.8872,36.615,unsupported,
photo,natural-photo,444_8bit_qp24,256,256,11369,11395,1.3878,44.090,unsupported,
photo,natural-photo,444_8bit_qp32,256,256,7565,7591,0.9235,37.837,unsupported,
photo16,natural-photo-hdr,420_10bit_qp28,256,256,8580,8606,1.0474,38.933,ok,45.690
photo16,natural-photo-hdr,444_10bit_qp28,256,256,9317,9343,1.1373,41.081,unsupported,
